"","candidate","district","borough","votes","party","olpr.winner"
"Write-In901","ERIC ADAMS","3","New York County",1,"Write-In901",0
"Write-In902","ERIC ANDERSEN","3","New York County",1,"Write-In902",0
"Write-In903","ERIC JOHNSON","3","New York County",1,"Write-In903",0
"Write-In904","ERIC L. ADAMS","3","New York County",3,"Write-In904",0
"Write-In905","ERIC SHOENBERG","3","New York County",1,"Write-In905",0
"Write-In906","EVAN COWIT","3","New York County",1,"Write-In906",0
"Write-In907","EVAN FIELD","3","New York County",1,"Write-In907",0
"Write-In908","EZRA HUNTER","3","New York County",1,"Write-In908",0
"Write-In909","FABIEN LEVY","3","New York County",1,"Write-In909",0
"Write-In910","FELIX ELORTEGUI","3","New York County",1,"Write-In910",0
"Write-In911","FRAN LEBOWITZ","3","New York County",1,"Write-In911",0
"Write-In912","GABRIEL FITZGERALD","3","New York County",1,"Write-In912",0
"Write-In913","GALE A. BREWER","3","New York County",1,"Write-In913",0
"Write-In914","GEORGE BLISS","3","New York County",1,"Write-In914",0
"Write-In915","GEORGE SANTOS","3","New York County",1,"Write-In915",0
"Write-In916","GIA VELASQUEZ","3","New York County",1,"Write-In916",0
"Write-In917","GLEN UNGER","3","New York County",1,"Write-In917",0
"Write-In918","GREG CAMP","3","New York County",1,"Write-In918",0
"Write-In919","HELEN QIU","3","New York County",1,"Write-In919",0
"Write-In920","HELOISE HENRARD","3","New York County",1,"Write-In920",0
"Write-In921","HOWARD S. EPSTEIN","3","New York County",1,"Write-In921",0
"Write-In922","ILANA RIOS","3","New York County",1,"Write-In922",0
"Write-In923","ISABELLE BOULAY","3","New York County",1,"Write-In923",0
"Write-In924","JACK KIRKMAN","3","New York County",1,"Write-In924",0
"Write-In925","JACKSON HAMBURGER","3","New York County",1,"Write-In925",0
"Write-In926","JACKSON MARVIN","3","New York County",1,"Write-In926",0
"Write-In927","JACQUELINE LANE","3","New York County",1,"Write-In927",0
"Write-In928","JACQUELINE LARA","3","New York County",1,"Write-In928",0
"Write-In929","JAKE MICHAEL","3","New York County",1,"Write-In929",0
"Write-In930","JALEN BRUNSON","3","New York County",5,"Write-In930",0
"Write-In931","JAMAR ADAMS","3","New York County",1,"Write-In931",0
"Write-In932","JAMEL BERKELEY","3","New York County",1,"Write-In932",0
"Write-In933","JAMES TOPOR","3","New York County",1,"Write-In933",0
"Write-In934","JAMIE DIMON","3","New York County",1,"Write-In934",0
"Write-In935","JANE MENTON","3","New York County",1,"Write-In935",0
"Write-In936","JANE ROSS","3","New York County",1,"Write-In936",0
"Write-In937","JANE WALSHE","3","New York County",1,"Write-In937",0
"Write-In938","JEAN LAPERTAKI","3","New York County",1,"Write-In938",0
"Write-In939","JEFF CHARLES GODSBY","3","New York County",1,"Write-In939",0
"Write-In940","JEFFREY KUFSHEY","3","New York County",1,"Write-In940",0
"Write-In941","JEFFREY LIDDLE","3","New York County",1,"Write-In941",0
"Write-In942","JEREMY SQUILLA","3","New York County",1,"Write-In942",0
"Write-In943","JEROME POWELL","3","New York County",1,"Write-In943",0
"Write-In944","JESSE BAUM","3","New York County",1,"Write-In944",0
"Write-In945","JOANNA F. MORGAN","3","New York County",1,"Write-In945",0
"Write-In946","JOBI LAX","3","New York County",1,"Write-In946",0
"Write-In947","JOE SWEENIE","3","New York County",1,"Write-In947",0
"Write-In948","JOEL LANGSTEIN","3","New York County",1,"Write-In948",0
"Write-In949","JOEY DLUZAK","3","New York County",1,"Write-In949",0
"Write-In950","JOHN FINAN","3","New York County",1,"Write-In950",0
"Write-In951","JOHN SMITH","3","New York County",3,"Write-In951",0
"Write-In952","JOHNNIE JACHAW","3","New York County",1,"Write-In952",0
"Write-In953","JOLYNN CARPENTER","3","New York County",1,"Write-In953",0
"Write-In954","JON KOKOT","3","New York County",1,"Write-In954",0
"Write-In955","JOSE ANTONIO GONZALEZ","3","New York County",1,"Write-In955",0
"Write-In956","JOSEPH MCCONNON","3","New York County",1,"Write-In956",0
"Write-In957","JOSHUA BLOCK","3","New York County",1,"Write-In957",0
"Write-In958","JUDE RIZZO","3","New York County",1,"Write-In958",0
"Write-In959","JUDITH BROWN","3","New York County",1,"Write-In959",0
"Write-In960","KAJA NEINERASKA","3","New York County",1,"Write-In960",0
"Write-In961","KAREN M. ORTIZ","3","New York County",1,"Write-In961",0
"Write-In962","KATHERINE BUCKLEITIER","3","New York County",1,"Write-In962",0
"Write-In963","KATHERINE GUPTA","3","New York County",1,"Write-In963",0
"Write-In964","KATY BORDONARO","3","New York County",1,"Write-In964",0
"Write-In965","KELLY CAPUANO","3","New York County",1,"Write-In965",0
"Write-In966","KELLY WATSON","3","New York County",1,"Write-In966",0
"Write-In967","KIM KARDASHIAN","3","New York County",1,"Write-In967",0
"Write-In968","KYLE ATHAYOLE","3","New York County",1,"Write-In968",0
"Write-In969","KYLE KULINSKI","3","New York County",1,"Write-In969",0
"Write-In970","LAURA D'AQUILA","3","New York County",1,"Write-In970",0
"Write-In971","LAYLA LAW-GISIKO","3","New York County",3,"Write-In971",0
"Write-In972","LEBRON JAMES","3","New York County",1,"Write-In972",0
"Write-In973","LEO CHEMAL","3","New York County",1,"Write-In973",0
"Write-In974","LEO SCARPONE","3","New York County",1,"Write-In974",0
"Write-In975","LESLIE BOGHOSIAN MURPHY","3","New York County",3,"Write-In975",0
"Write-In976","LOUIS FLORES","3","New York County",1,"Write-In976",0
"Write-In977","LUCY ABUSADA","3","New York County",1,"Write-In977",0
"Write-In978","LUCY MARTINEZ","3","New York County",1,"Write-In978",0
"Write-In979","LUKE ANGELAKIS","3","New York County",1,"Write-In979",0
"Write-In980","LYNN SCHILMAN","3","New York County",1,"Write-In980",0
"Write-In981","MARC PALEY","3","New York County",1,"Write-In981",0
"Write-In982","MARIA ORTIZ","3","New York County",1,"Write-In982",0
"Write-In983","MARIAH CAREY","3","New York County",1,"Write-In983",0
"Write-In984","MARIO RACCIGLIA","3","New York County",1,"Write-In984",0
"Write-In985","MARK CUBAN","3","New York County",1,"Write-In985",0
"Write-In986","MATTHEW ADOLHARDT","3","New York County",1,"Write-In986",0
"Write-In987","MAUD MARON","3","New York County",2,"Write-In987",0
"Write-In988","MAXWELL BASH","3","New York County",1,"Write-In988",0
"Write-In989","MIA KHALIFA","3","New York County",1,"Write-In989",0
"Write-In990","MICHAEL ANDERSON","3","New York County",1,"Write-In990",0
"Write-In991","MICHAEL BEATELL","3","New York County",1,"Write-In991",0
"Write-In992","MICHAEL BLOOMBERG","3","New York County",7,"Write-In992",0
"Write-In993","MICHAEL HARRIS","3","New York County",1,"Write-In993",0
"Write-In994","MICHAEL LAMBERT","3","New York County",1,"Write-In994",0
"Write-In995","MICHAEL MEYERS","3","New York County",1,"Write-In995",0
"Write-In996","MICHAEL MOSCATT","3","New York County",1,"Write-In996",0
"Write-In997","MIKA KIMBERLEN","3","New York County",1,"Write-In997",0
"Write-In998","MIKE IBRI","3","New York County",1,"Write-In998",0
"Write-In999","MINGXI ZHU","3","New York County",1,"Write-In999",0
"Conservative.22141","Brett Wynkoop","39","Kings County",5761,"Conservative",0
"Conservative.10102","Benny Rosenberger","35","Kings County",3352,"Conservative",0
"Conservative.638","Dimple Willabus","46","Kings County",1808,"Conservative",0
"Democratic.15114","Chi Ajani Osse","36","Kings County",44256,"Democratic",1
"Democratic.21181","Farah N. Louis","45","Kings County",33182,"Democratic",1
"Democratic.16221","Mercedes Narcisse","46","Kings County",26687,"Democratic",1
"Democratic.31161","Darlene Mealy","41","Kings County",25898,"Democratic",1
"Democratic.21061","Chris Banks","42","Kings County",23336,"Democratic",0
"Democratic.Kings County.81","Radhakrishna Mohan","50","Kings County",1147,"Democratic",0
"Democratic and Conservative","Susan Zhuang","43","Kings County",17062,"Democratic and Conservative",0
"Democratic and Working Families.15101","Crystal Hudson","35","Kings County",58054,"Democratic and Working Families",1
"Democratic and Working Families.15411","Shahana K. Hanif","39","Kings County",56626,"Democratic and Working Families",1
"Democratic and Working Families.2064","Lincoln Restler","33","Kings County",49965,"Democratic and Working Families",1
"Democratic and Working Families.10531","Rita C. Joseph","40","Kings County",42496,"Democratic and Working Families",1
"Democratic and Working Families.Kings County.40","Jennifer Gutierrez","34","Kings County",37544,"Democratic and Working Families",1
"Democratic and Working Families.4831","Sandy Nurse","37","Kings County",28243,"Democratic and Working Families",1
"Democratic and Working Families.21221","Kayla Santosuosso","47","Kings County",23135,"Democratic and Working Families",1
"Democratic and Working Families.11041","Alexa Aviles","38","Kings County",20848,"Democratic and Working Families",1
"Democratic/Law & Order and Conservative","Simcha Felder","44","Kings County",36394,"Democratic/Law & Order and Conservative",1
"Freedom","Davon L. Phillips","42","Kings County",1045,"Freedom",0
"Libertarian","Matthew I. Morgan","39","Kings County",1834,"Libertarian",0
"Republican","Athena A. Clarke","46","Kings County",10938,"Republican",0
"Republican and Conservative.867","Inna Vernikov","48","Kings County",30298,"Republican and Conservative",1
"Republican and Conservative.1139","George Sarantopoulos","47","Kings County",15819,"Republican and Conservative",0
"Republican and Conservative.20131","Luis E. Quero","38","Kings County",7507,"Republican and Conservative",0
"Republican and Conservative.33161","Joshua Elijah Diaz","45","Kings County",4516,"Republican and Conservative",0
"Republican and Conservative.Kings County.110","David M. Carr","50","Kings County",1873,"Republican and Conservative",0
"Republican and Trump MAGA","Heshy Tischler","44","Kings County",6615,"Republican and Trump MAGA",0
"Safe&Affordable","Hatem El-Gamasy","45","Kings County",1549,"Safe&Affordable",0
"United Alliance.8741","Yehuda Shaffer","41","Kings County",1741,"United Alliance",0
"United Alliance.32101","Hector Robertson","35","Kings County",1033,"United Alliance",0
"Voters First","Nickie Kane","39","Kings County",1294,"Voters First",0
"Write-In2561","AARON MARKOWITZ","33","Kings County",1,"Write-In2561",0
"Write-In2562","ABE BRACH","33","Kings County",1,"Write-In2562",0
"Write-In2563","ABE ROSENBERG","33","Kings County",2,"Write-In2563",0
"Write-In2564","ABIGAIL PAYNE","33","Kings County",1,"Write-In2564",0
"Write-In2565","ABRAHAM PARNES","33","Kings County",1,"Write-In2565",0
"Write-In2566","ABRAM SEIFERTH","33","Kings County",1,"Write-In2566",0
"Write-In2567","ACHRON BRONSON","33","Kings County",1,"Write-In2567",0
"Write-In2568","ADAM AGATA","33","Kings County",1,"Write-In2568",0
"Write-In2569","ADRIAN KOS","33","Kings County",2,"Write-In2569",0
"Write-In2570","AHRON HOROWITZ","33","Kings County",1,"Write-In2570",0
"Write-In2571","AIMEE KRAFT","33","Kings County",1,"Write-In2571",0
"Write-In2572","ALEC RAGGIO","33","Kings County",1,"Write-In2572",0
"Write-In2573","ALISON LYNESS","33","Kings County",1,"Write-In2573",0
"Write-In2574","ALYSSA WALKER","33","Kings County",1,"Write-In2574",0
"Write-In2575","AMANICA CLARK","33","Kings County",1,"Write-In2575",0
"Write-In2576","AMELIA ROBINSON","33","Kings County",1,"Write-In2576",0
"Write-In2577","ANASTASIA LEAHY","33","Kings County",1,"Write-In2577",0
"Write-In2578","ANDREW AL BRAHTSEN","33","Kings County",1,"Write-In2578",0
"Write-In2579","ANDREW CITRON","33","Kings County",2,"Write-In2579",0
"Write-In2580","ANDREW DUIZKIEWICZ","33","Kings County",1,"Write-In2580",0
"Write-In2581","ANDREW EPSTIEN","33","Kings County",1,"Write-In2581",0
"Write-In2582","ANDREW M. CUOMO","33","Kings County",6,"Write-In2582",0
"Write-In2583","ANDREW YANG","33","Kings County",2,"Write-In2583",0
"Write-In2584","ANDY BIANCO","33","Kings County",1,"Write-In2584",0
"Write-In2585","ANGELO ANOBIK","33","Kings County",1,"Write-In2585",0
"Write-In2586","ANJELICA ALMAZAN","33","Kings County",1,"Write-In2586",0
"Write-In2587","ANNA BIELEN","33","Kings County",1,"Write-In2587",0
"Write-In2588","ANNE MARIE","33","Kings County",1,"Write-In2588",0
"Write-In2589","ANTHONY ANDREASE","33","Kings County",1,"Write-In2589",0
"Write-In2590","ANTHONY DASSAND","33","Kings County",1,"Write-In2590",0
"Write-In2591","ANTHONY FILIPELLI","33","Kings County",1,"Write-In2591",0
"Write-In2592","ANTHONY PECORA","33","Kings County",1,"Write-In2592",0
"Write-In2593","ANTI BIKEN","33","Kings County",1,"Write-In2593",0
"Write-In2594","ANTONIO REYNOSO","33","Kings County",1,"Write-In2594",0
"Write-In2595","ARI FEDER","33","Kings County",1,"Write-In2595",0
"Write-In2596","ARI HORWITZ","33","Kings County",1,"Write-In2596",0
"Write-In2597","ARTHUR LACH","33","Kings County",1,"Write-In2597",0
"Write-In2598","AVIGDOR MILLER","33","Kings County",1,"Write-In2598",0
"Write-In2599","AZRIEL KATZ","33","Kings County",1,"Write-In2599",0
"Write-In2600","BARACK OBAMA","33","Kings County",1,"Write-In2600",0
"Write-In2601","BARON TRUMP","33","Kings County",1,"Write-In2601",0
"Write-In2602","BEN BRANHAM","33","Kings County",1,"Write-In2602",0
"Write-In2603","BEN DEITRICH","33","Kings County",1,"Write-In2603",0
"Write-In2604","BEN SCHNEIDER","33","Kings County",1,"Write-In2604",0
"Write-In2605","BERNIE SANDERS","33","Kings County",2,"Write-In2605",0
"Write-In2606","BILL CLINTON","33","Kings County",1,"Write-In2606",0
"Write-In2607","BOBBY DUKES","33","Kings County",1,"Write-In2607",0
"Write-In2608","BRENDA SAVOCA","33","Kings County",1,"Write-In2608",0
"Write-In2609","BRENDAN J COSGROVE","33","Kings County",1,"Write-In2609",0
"Write-In2610","BRENDAN MAGUIRE","33","Kings County",1,"Write-In2610",0
"Write-In2611","BRIAN EDWARDS","33","Kings County",1,"Write-In2611",0
"Write-In2612","BRUCE DONACH","33","Kings County",1,"Write-In2612",0
"Write-In2613","BRUNO KREISKY","33","Kings County",1,"Write-In2613",0
"Write-In2614","BURICH STERN","33","Kings County",1,"Write-In2614",0
"Write-In2615","CAMERON KANE","33","Kings County",1,"Write-In2615",0
"Write-In2616","CANSTINE FOWLEY","33","Kings County",1,"Write-In2616",0
"Write-In2617","CARLOS COLON","33","Kings County",1,"Write-In2617",0
"Write-In2618","CARLYN ABOTT","33","Kings County",1,"Write-In2618",0
"Write-In2619","CARMEN DE LA ROSE","33","Kings County",1,"Write-In2619",0
"Write-In2620","CATHERINE ROOSEVELT","33","Kings County",1,"Write-In2620",0
"Write-In2621","CATIE KELLY","33","Kings County",1,"Write-In2621",0
"Write-In2622","CATO MILOS","33","Kings County",1,"Write-In2622",0
"Write-In2623","CHAIM D DEUTCH","33","Kings County",1,"Write-In2623",0
"Write-In2624","CHAIM WIESS","33","Kings County",1,"Write-In2624",0
"Write-In2625","CHARLES J TAFOYA","33","Kings County",1,"Write-In2625",0
"Write-In2626","CHARLES TAFOYA","33","Kings County",1,"Write-In2626",0
"Write-In2627","CHESKY KOHN","33","Kings County",1,"Write-In2627",0
"Write-In2628","CHRIS FOWEL","33","Kings County",1,"Write-In2628",0
"Write-In2629","CHRIS MASUREL","33","Kings County",1,"Write-In2629",0
"Write-In2630","CHRISTINE FOWLEY","33","Kings County",1,"Write-In2630",0
"Write-In2631","CHRISTOPHER MCARDLE","33","Kings County",1,"Write-In2631",0
"Write-In2632","COLLIN DENNIS","33","Kings County",1,"Write-In2632",0
"Write-In2633","CORMAL MCENERY","33","Kings County",1,"Write-In2633",0
"Write-In2634","COY L. COX","33","Kings County",1,"Write-In2634",0
"Write-In2635","CRYSTAL HUDSON","33","Kings County",1,"Write-In2635",0
"Write-In2636","CURTIS A. SLIWA","33","Kings County",14,"Write-In2636",0
"Write-In2637","CURTIS SLIWA","33","Kings County",2,"Write-In2637",0
"Write-In2638","DAN HORWITZ","33","Kings County",1,"Write-In2638",0
"Write-In2639","DAN J MALOUANY","33","Kings County",1,"Write-In2639",0
"Write-In2640","DAN WOHL","33","Kings County",1,"Write-In2640",0
"Write-In2641","DANIEL EARL MITCHELL","33","Kings County",1,"Write-In2641",0
"Write-In2642","DANIEL ERICKSON","33","Kings County",1,"Write-In2642",0
"Write-In2643","DANIEL MUN","33","Kings County",1,"Write-In2643",0
"Write-In2644","DAVE BALL","33","Kings County",1,"Write-In2644",0
"Write-In2645","DAVID DUANE","33","Kings County",1,"Write-In2645",0
"Write-In2646","DAVID KRAMER","33","Kings County",1,"Write-In2646",0
"Write-In2647","DAVID M. CARR","33","Kings County",1,"Write-In2647",0
"Write-In2648","DAVID NEIDERMAN","33","Kings County",2,"Write-In2648",0
"Write-In2649","DAVID NIEDERMAN","33","Kings County",5,"Write-In2649",0
"Write-In2650","DAVID SILVA","33","Kings County",1,"Write-In2650",0
"Write-In2651","DAVID STEIN","33","Kings County",1,"Write-In2651",0
"Write-In2652","DEBRA HARRIS","33","Kings County",1,"Write-In2652",0
"Write-In2653","DENISE JOHNSON","33","Kings County",1,"Write-In2653",0
"Write-In2654","DEREK JETER","33","Kings County",1,"Write-In2654",0
"Write-In2655","DOMENIQ GINEMOD","33","Kings County",1,"Write-In2655",0
"Write-In2656","DONALD J. TRUMP","33","Kings County",11,"Write-In2656",0
"Write-In2657","DONALD TRUMP JR","33","Kings County",1,"Write-In2657",0
"Write-In2658","EDWARD AMINOV","33","Kings County",1,"Write-In2658",0
"Write-In2659","EDWARD BRADLY","33","Kings County",1,"Write-In2659",0
"Write-In2660","ELIZABETH DAVIS","33","Kings County",2,"Write-In2660",0
"Write-In2661","ELLIOT COSGROVE","33","Kings County",1,"Write-In2661",0
"Write-In2662","ELON MUSK","33","Kings County",1,"Write-In2662",0
"Write-In2663","ELY SIMCHAM","33","Kings County",1,"Write-In2663",0
"Write-In2664","EMILY BIGSBY","33","Kings County",1,"Write-In2664",0
"Write-In2665","ERIC ADAMS","33","Kings County",2,"Write-In2665",0
"Write-In2666","ERIC L. ADAMS","33","Kings County",20,"Write-In2666",0
"Write-In2667","ERIK TONNESOL","33","Kings County",1,"Write-In2667",0
"Write-In2668","ERROL LEWIS","33","Kings County",1,"Write-In2668",0
